sep=;
date;systemTime;marker;HMDPosition;HMDRotation;objectId;objectPosition;agentExpression;CombinedGazePosition;CombinedGazeOrigin;LeftEyeOpenness;LeftEyeOrigin;LeftEyeForward;LeftEyePupilPosition;LeftEyePupilSize;RightEyeOpenness;RightEyeOrigin;RightEyeForward;RightEyePupilPosition;RightEyePupilSize;FocusDistance;FocusPoint;FocusNormal
12/4/2023 5:01:03 PM;1701705663850;;(-0.181, 1.071, 0.078);(354.857, 4.269, 355.682);;;;(-25.961, 14.136, -37.520);(-0.120, -0.244, 0.962);1;(33.583, 12.820, -44.322);(-0.159, -0.212, 0.964);(0.46, 0.28);2.578552;1;(-27.861, 14.178, -37.303);(-0.119, -0.245, 0.962);(0.44, 0.17);2.467987;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663872;;(-0.181, 1.071, 0.078);(354.893, 4.388, 355.654);;;;(-5.995, 13.575, -38.846);(-0.136, -0.223, 0.965);1;(33.699, 12.280, -40.437);(-0.172, -0.231, 0.958);(0.46, 0.28);2.786026;1;(-27.941, 14.291, -37.966);(-0.116, -0.218, 0.969);(0.44, 0.16);2.4133;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663895;;(-0.181, 1.071, 0.078);(354.915, 4.525, 355.612);;;;(-27.939, 14.206, -37.572);(-0.121, -0.208, 0.971);1;(33.614, 12.692, -43.516);(-0.175, -0.210, 0.962);(0.46, 0.28);2.632095;1;(-27.939, 14.206, -37.572);(-0.121, -0.208, 0.971);(0.44, 0.16);2.443161;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663918;;(-0.180, 1.071, 0.078);(354.940, 4.613, 355.587);;;;(-27.933, 14.178, -37.426);(-0.118, -0.217, 0.969);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.57, 0.45);-1;1;(-27.933, 14.178, -37.426);(-0.118, -0.217, 0.969);(0.44, 0.16);2.495514;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663939;;(-0.180, 1.071, 0.078);(354.992, 4.704, 355.568);;;;(-27.931, 14.167, -37.370);(-0.115, -0.211, 0.971);1;(33.650, 12.670, -43.425);(-0.154, -0.210, 0.966);(0.45, 0.28);2.539627;1;(-27.931, 14.167, -37.370);(-0.115, -0.211, 0.971);(0.44, 0.16);2.486069;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663961;;(-0.180, 1.071, 0.078);(355.027, 4.786, 355.568);;;;(-27.660, 13.072, -31.846);(-0.188, -0.149, 0.971);1;(33.655, 12.677, -43.454);(-0.148, -0.210, 0.966);(0.45, 0.28);2.52626;1;(-27.660, 13.072, -31.846);(-0.188, -0.149, 0.971);(0.44, 0.16);2.711349;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663984;;(-0.180, 1.071, 0.079);(355.066, 4.843, 355.566);;;;(-27.867, 14.243, -36.952);(-0.131, -0.249, 0.960);1;(33.664, 12.675, -43.446);(-0.145, -0.216, 0.966);(0.45, 0.28);2.55542;1;(-27.867, 14.243, -36.952);(-0.131, -0.249, 0.960);(0.44, 0.16);2.503311;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:04 PM;1701705664006;;(-0.179, 1.071, 0.079);(355.144, 4.868, 355.576);;;;(1.518, 13.442, -40.144);(-0.131, -0.216, 0.968);1;(33.673, 12.663, -43.409);(-0.144, -0.214, 0.966);(0.45, 0.28);2.545425;1;(-27.906, 14.155, -37.157);(-0.119, -0.218, 0.969);(0.44, 0.16);2.493149;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:04 PM;1701705664028;;(-0.179, 1.071, 0.079);(355.239, 4.906, 355.590);;;;(4.981, 13.434, -40.220);(-0.146, -0.246, 0.958);1;(33.677, 12.660, -43.398);(-0.146, -0.212, 0.966);(0.45, 0.28);2.557068;1;(-27.809, 14.318, -36.589);(-0.146, -0.284, 0.948);(0.44, 0.16);2.549576;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:04 PM;1701705664051;;(-0.179, 1.071, 0.079);(355.336, 4.962, 355.554);;;;(7.374, 13.367, -40.465);(-0.143, -0.240, 0.960);1;(33.682, 12.660, -43.392);(-0.142, -0.210, 0.967);(0.45, 0.28);2.564667;1;(-27.807, 14.314, -36.552);(-0.144, -0.280, 0.949);(0.44, 0.16);2.556442;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
