Id;SegmentIndex;VideoName;VideoMode;QuestionIndex;ExperimentSecond;DevicePosition;DeviceRotation;CombinedEyeDirection;CombinedEyeOrigin;LeftEyeOpeness;LeftEyeOrigin;LeftEyeDirection;LeftEyePositionInSensorArea;LeftEyePupilSize;RightEyeOpeness;RightEyeOrigin;RightEyeDirection;RightEyePositionInSensorArea;RightEyePupilSize;Phase;
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.704;(0.738, 1.256, -0.544);(2.467, 357.503, 356.602);(-0.300, 0.003, 0.954);(31.279, 2.309, -25.143);0.80;(31.318, 2.309, -25.142);(-0.300, 0.003, 0.954);(0.520, 0.491, 0.000);4.03;0.78;(-30.472, 3.191, -26.204);(-0.011, -0.003, 1.000);(0.501, 0.458, 0.000);4.36;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.728;(0.738, 1.256, -0.544);(2.431, 357.482, 356.631);(-0.296, 0.003, 0.955);(30.603, 2.304, -25.135);0.80;(31.315, 2.294, -25.122);(-0.299, 0.003, 0.954);(0.520, 0.491, 0.000);4.03;0.74;(-30.475, 3.191, -26.204);(-0.010, -0.002, 1.000);(0.501, 0.458, 0.000);4.39;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.752;(0.738, 1.256, -0.545);(2.384, 357.465, 356.664);(-0.077, -0.004, 0.997);(-16.295, 2.975, -25.896);0.79;(31.314, 2.256, -24.918);(-0.299, -0.003, 0.954);(0.520, 0.492, 0.000);4.04;0.76;(-30.473, 3.189, -26.187);(-0.010, -0.004, 1.000);(0.501, 0.458, 0.000);4.40;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.786;(0.738, 1.256, -0.545);(2.315, 357.431, 356.725);(-0.146, -0.001, 0.989);(-2.166, 2.671, -25.309);0.83;(31.313, 2.256, -24.899);(-0.300, -0.005, 0.954);(0.521, 0.492, 0.000);4.04;0.77;(-30.450, 3.021, -25.655);(-0.014, 0.002, 1.000);(0.501, 0.458, 0.000);4.42;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.810;(0.738, 1.256, -0.545);(2.265, 357.396, 356.753);(-0.300, -0.006, 0.954);(31.209, 2.256, -24.897);0.83;(31.308, 2.255, -24.896);(-0.300, -0.006, 0.954);(0.521, 0.492, 0.000);4.04;0.79;(-30.450, 3.010, -25.654);(-0.016, 0.003, 1.000);(0.502, 0.458, 0.000);4.42;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.833;(0.738, 1.256, -0.545);(2.213, 357.350, 356.779);(-0.298, -0.007, 0.955);(31.097, 2.257, -24.898);0.83;(31.304, 2.255, -24.896);(-0.299, -0.007, 0.954);(0.521, 0.492, 0.000);4.04;0.79;(-30.450, 3.008, -25.646);(-0.016, 0.002, 1.000);(0.502, 0.458, 0.000);4.42;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.856;(0.738, 1.256, -0.545);(2.176, 357.321, 356.806);(-0.258, -0.006, 0.966);(22.274, 2.365, -25.003);0.84;(31.301, 2.255, -24.896);(-0.298, -0.007, 0.954);(0.521, 0.492, 0.000);4.06;0.79;(-30.452, 3.008, -25.633);(-0.017, 0.001, 1.000);(0.502, 0.458, 0.000);4.44;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.879;(0.737, 1.256, -0.545);(2.138, 357.293, 356.813);(-0.162, -0.004, 0.987);(0.914, 2.621, -25.263);0.86;(31.298, 2.245, -24.885);(-0.298, -0.008, 0.955);(0.521, 0.492, 0.000);4.07;0.80;(-30.458, 3.009, -25.652);(-0.018, 0.000, 1.000);(0.502, 0.459, 0.000);4.42;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.901;(0.737, 1.256, -0.545);(2.108, 357.279, 356.822);(-0.162, -0.005, 0.987);(0.764, 2.622, -25.264);0.87;(31.294, 2.243, -24.877);(-0.297, -0.009, 0.955);(0.521, 0.493, 0.000);4.06;0.79;(-30.462, 3.009, -25.659);(-0.020, -0.002, 1.000);(0.503, 0.459, 0.000);4.44;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.936;(0.737, 1.256, -0.545);(2.076, 357.248, 356.835);(-0.296, -0.010, 0.955);(30.937, 2.241, -24.870);0.87;(31.294, 2.236, -24.863);(-0.297, -0.010, 0.955);(0.521, 0.493, 0.000);4.02;0.78;(-30.517, 3.145, -26.138);(-0.012, -0.008, 1.000);(0.503, 0.460, 0.000);4.40;Countdown
