sep=;
date;systemTime;marker;HMDPosition;HMDRotation;objectId;objectPosition;agentExpression;CombinedGazePosition;CombinedGazeOrigin;LeftEyeOpenness;LeftEyeOrigin;LeftEyeForward;LeftEyePupilPosition;LeftEyePupilSize;RightEyeOpenness;RightEyeOrigin;RightEyeForward;RightEyePupilPosition;RightEyePupilSize;FocusDistance;FocusPoint;FocusNormal
12/5/2023 3:52:13 PM;1701787933592;;(-0.054, 1.261, -0.024);(10.429, 356.729, 357.374);;;;(-5.970, -0.141, -32.793);(-0.120, 0.016, 0.993);0.9480337;(30.845, -0.466, -30.819);(-0.143, 0.028, 0.989);(0.58, 0.60);3.434555;1;(-31.945, 0.088, -34.186);(-0.104, 0.008, 0.995);(0.55, 0.63);3.226913;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933614;;(-0.054, 1.261, -0.024);(10.431, 357.015, 357.348);;;;(-4.255, -0.151, -32.710);(-0.117, 0.020, 0.993);0.9472362;(30.874, -0.444, -30.866);(-0.142, 0.029, 0.989);(0.58, 0.60);3.333618;1;(-31.929, 0.080, -34.162);(-0.097, 0.012, 0.995);(0.55, 0.63);3.26799;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933636;;(-0.053, 1.261, -0.024);(10.447, 357.314, 357.308);;;;(-0.072, -0.206, -32.428);(-0.118, 0.023, 0.993);0.9524933;(30.904, -0.413, -30.951);(-0.138, 0.027, 0.990);(0.58, 0.60);3.386902;1;(-31.904, 0.007, -33.945);(-0.097, 0.020, 0.995);(0.55, 0.63);3.32135;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933658;;(-0.053, 1.261, -0.023);(10.443, 357.607, 357.260);;;;(0.012, -0.172, -32.502);(-0.109, 0.021, 0.994);1;(30.956, -0.290, -31.329);(-0.131, 0.022, 0.991);(0.57, 0.60);3.320374;1;(-31.872, -0.050, -33.710);(-0.087, 0.021, 0.996);(0.54, 0.62);3.259857;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933681;;(-0.052, 1.261, -0.023);(10.462, 357.909, 357.213);;;;(-4.854, -0.045, -32.936);(-0.098, 0.018, 0.995);0.9394806;(30.944, -0.125, -31.732);(-0.119, 0.010, 0.993);(0.57, 0.60);3.351456;1;(-31.883, 0.016, -33.846);(-0.083, 0.024, 0.996);(0.54, 0.62);3.240387;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933704;;(-0.052, 1.261, -0.023);(10.434, 358.227, 357.175);;;;(-32.227, 0.128, -34.258);(-0.120, -0.012, 0.993);0.8828881;(30.589, 0.204, -32.716);(-0.166, -0.018, 0.986);(0.59, 0.60);3.239273;0.9504428;(-32.227, 0.128, -34.258);(-0.120, -0.012, 0.993);(0.56, 0.63);3.240265;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933725;;(-0.051, 1.261, -0.023);(10.417, 358.595, 357.145);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);0.7142119;(30.080, 0.945, -34.721);(-0.243, -0.063, 0.968);(0.63, 0.61);2.899612;0.6957591;(-32.709, 0.453, -35.297);(-0.218, -0.023, 0.976);(0.60, 0.63);3.239304;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933748;;(-0.050, 1.261, -0.023);(10.390, 358.950, 357.101);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);0.6167169;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.66, 0.69);-1;0.607884;(-32.906, 0.124, -34.377);(-0.202, -0.101, 0.974);(0.60, 0.65);2.634293;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933770;;(-0.050, 1.261, -0.023);(10.344, 359.366, 357.032);SpawnPoint (2);(0.145, 0.000, 1.617);;(-33.084, -0.020, -34.104);(-0.220, -0.263, 0.939);0.550342;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.00, -1.00);-1;0.5699429;(-33.084, -0.020, -34.104);(-0.220, -0.263, 0.939);(0.61, 0.68);1.96376;1.804103;(0.305, 0.470, 1.559);(0.320, 0.940, -0.115)
12/5/2023 3:52:13 PM;1701787933792;;(-0.049, 1.261, -0.023);(10.275, 359.785, 356.913);;;;(-32.812, -3.060, -29.107);(-0.343, 0.082, 0.936);0.5123869;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.00, -1.00);-1;0.5416816;(-32.812, -3.060, -29.107);(-0.343, 0.082, 0.936);(0.61, 0.68);2.74968;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
